City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,natal,-5.795,-35.2094,26.36,83,20,2.57,BR,1674359047
197,jiayuguan,39.8167,98.3,-10.48,55,100,5.21,CN,1674359286
198,manoel urbano,-8.8389,-69.2597,21.28,98,75,1.17,BR,1674359398
199,magrath,49.4167,-112.8686,4.08,60,45,8.75,CA,1674359398
200,surt,31.2089,16.5887,11.7,28,0,5.85,LY,1674359139
201,lucapa,-8.4192,20.7447,16.91,96,100,1.09,AO,1674359398
202,sterling,39.0062,-77.4286,1.41,82,20,1.54,US,1674359399
203,cascais,38.6979,-9.4215,12.74,87,3,9.83,PT,1674359399
204,henties bay,-22.116,14.2845,18.23,88,87,1.97,NA,1674359399
205,borovsk,55.2064,36.4861,-2.04,74,17,2.06,RU,1674359399
206,tuatapere,-46.1333,167.6833,14.67,80,85,4.3,NZ,1674359001
207,sabya,17.1495,42.6254,23.79,75,1,1.37,SA,1674359399
208,rosarito,32.3333,-117.0333,12.59,51,0,3.99,MX,1674359400
209,wamba,8.9333,8.6,22.17,22,49,1.95,NG,1674359400
210,novo horizonte,-21.4681,-49.2208,20.84,94,97,2.6,BR,1674359400
211,palmer,42.1584,-72.3287,0.14,71,100,3.09,US,1674358969
212,noumea,-22.2763,166.4572,32.99,99,100,2.07,NC,1674359401
213,borodino,55.9106,94.8983,-37.65,92,60,1.02,RU,1674359401
214,finspang,58.7058,15.7674,-3.27,92,6,0.44,SE,1674359401
215,losone,46.1687,8.7593,3.23,44,100,0.0,CH,1674359401
216,namatanai,-3.6667,152.4333,29.76,66,100,1.59,PG,1674359116
217,newport,51.5877,-2.9984,0.9,95,100,2.76,GB,1674359401
218,san juan,-31.5375,-68.5364,29.83,23,30,5.0,AR,1674359401
219,locharbriggs,55.1034,-3.5844,4.97,91,100,2.9,GB,1674359402
220,paracuru,-3.41,-39.0306,27.28,85,74,3.22,BR,1674359236
221,buta,2.7858,24.73,19.52,71,99,1.3,CD,1674359241
222,areosa,41.7178,-8.8571,8.23,76,6,4.0,PT,1674359402
223,iquitos,-3.7481,-73.2472,24.02,88,0,0.51,PE,1674358982
224,hovd,48.0056,91.6419,-19.56,67,100,2.05,MN,1674359403
225,zhicheng,30.2956,111.5047,9.73,50,86,2.18,CN,1674359403
226,inirida,3.8653,-67.9239,24.22,81,88,0.56,CO,1674359403
227,bestobe,52.4994,73.0975,-13.5,81,100,4.94,KZ,1674359403
228,winton,37.3894,-120.6133,8.32,85,0,0.0,US,1674359403
229,ruteng,-8.6136,120.4721,24.72,52,17,1.21,ID,1674359177
230,kaitangata,-46.2817,169.8464,13.64,85,80,5.28,NZ,1674358991
231,ponorogo,-7.8685,111.462,30.79,60,45,1.67,ID,1674359404
232,okhotsk,59.3833,143.3,-21.29,78,100,5.96,RU,1674359404
233,pipar,26.3856,73.5378,16.18,47,0,2.31,IN,1674359261
234,klaksvik,62.2266,-6.589,8.51,88,100,9.45,FO,1674359009
235,vestnes,62.6264,7.0884,-0.47,56,78,4.51,NO,1674359404
236,disna,55.568,28.1971,-4.35,96,71,2.8,BY,1674359404
237,changji,44.0167,87.3167,-13.56,85,67,1.0,CN,1674359404
238,kyra,49.5776,111.9753,-26.16,65,77,3.43,RU,1674359405
239,necochea,-38.5473,-58.7368,17.44,90,4,4.71,AR,1674359004
240,pacaembu,-21.5622,-51.2606,21.33,90,34,2.53,BR,1674359405
241,dingle,10.9995,122.6711,27.7,76,74,6.72,PH,1674359017
242,saint george,37.1041,-113.5841,3.3,51,0,3.6,US,1674359018
243,roald,62.5833,6.1333,6.08,45,20,7.72,NO,1674359406
244,bethel,41.3712,-73.414,1.93,75,100,0.0,US,1674358959
245,izumo,35.3667,132.7667,5.97,61,75,2.06,JP,1674359406
246,raudeberg,61.9875,5.1352,3.37,67,26,12.63,NO,1674358982
247,mikhaylovka,50.06,43.2379,-6.42,86,100,4.33,RU,1674359406
248,mandera,3.9366,41.867,25.47,57,73,4.35,KE,1674358979
249,dombasle-sur-meurthe,48.6252,6.3497,-0.73,87,100,4.12,FR,1674359406
250,seoul,37.5683,126.9778,0.76,58,100,1.54,KR,1674358996
251,clifton,40.8584,-74.1638,3.19,68,100,2.06,US,1674359407
252,pizarro,4.9533,-77.366,23.87,92,50,2.52,CO,1674359407
253,santa maria,-29.6842,-53.8069,22.61,100,40,1.03,BR,1674359407
254,gat,31.61,34.7642,14.11,100,0,0.91,IL,1674358967
255,isabela,6.7085,121.9711,31.03,73,100,1.78,PH,1674359336
256,san juan del sur,11.2529,-85.8705,24.92,78,7,8.91,NI,1674359407
257,ewa beach,21.3156,-158.0072,26.97,65,75,4.63,US,1674359408
258,namwala,-15.7504,26.4384,18.05,98,100,0.61,ZM,1674359408
259,nouakchott,18.0858,-15.9785,15.96,67,3,4.29,MR,1674359408
260,tabas,33.5959,56.9244,4.35,42,0,1.89,IR,1674359191
261,paraiso,9.8383,-83.8656,18.48,91,44,1.39,CR,1674359408
262,ipora,-16.4419,-51.1178,20.1,96,99,1.23,BR,1674359409
263,teya,60.3778,92.6267,-35.05,96,77,1.75,RU,1674359409
264,vitim,59.4511,112.5578,-38.68,89,66,1.9,RU,1674359409
265,wilmington,34.2257,-77.9447,8.83,75,0,2.06,US,1674359191
266,saint-leu,-21.15,55.2833,26.84,78,100,0.38,RE,1674359170
267,saint anthony,45.0205,-93.218,-4.47,91,100,2.06,US,1674359046
268,vila franca do campo,37.7167,-25.4333,15.23,75,89,2.71,PT,1674359040
269,eureka,40.8021,-124.1637,10.52,89,100,0.45,US,1674359410
270,toguchin,55.2353,84.3858,-32.86,97,21,2.22,RU,1674359341
271,banda aceh,5.5577,95.3222,27.59,73,91,3.27,ID,1674359189
272,ovsyanka,55.9575,92.5519,-39.46,82,8,1.86,RU,1674359410
273,husavik,66.0449,-17.3389,-0.25,79,100,4.71,IS,1674358962
274,onega,63.9061,38.1404,-4.25,92,100,2.03,RU,1674359410
275,ancud,-41.8697,-73.8203,14.95,97,95,2.31,CL,1674358969
276,garowe,8.4054,48.4845,18.45,71,74,4.34,SO,1674359411
277,kamaishi,39.2667,141.8833,1.86,44,54,4.64,JP,1674359198
278,dunedin,-45.8742,170.5036,16.56,70,88,5.36,NZ,1674359056
279,cabo san lucas,22.8909,-109.9124,19.73,70,0,1.39,MX,1674359411
